model_name,dataset,size,n_tokens,mmlu,copa,lambada_openai,openbookqa,winogrande,arc_challenge,arc_easy,boolq,commonsense_qa,hellaswag,piqa,average_11
open-sci-ref-v0.01-0.13b-c4-300B-4096-warmup25000,C4,0.130000,300B,0.256516,0.690000,0.370464,0.292000,0.513023,0.240614,0.455387,0.598165,0.211302,0.390958,0.683351,0.427435
open-sci-ref-v0.01-0.4b-c4-300B-4096-warmup25000,C4,0.400000,300B,0.245620,0.740000,0.459150,0.348000,0.537490,0.278157,0.549242,0.530887,0.192465,0.524895,0.730686,0.466963
open-sci-ref-v0.01-1.3b-c4-300B-4096-warmup25000,C4,1.300000,300B,0.266201,0.820000,0.590530,0.398000,0.629834,0.340444,0.670875,0.656881,0.205569,0.682434,0.774211,0.548634
open-sci-ref-v0.01-1.7b-c4-300B-4096-warmup25000,C4,1.700000,300B,0.266201,0.820000,0.590530,0.398000,0.629834,0.340444,0.670875,0.656881,0.205569,0.682434,0.774211,0.548634
open-sci-ref_model-0.13b_data-common-pile-comma_v0.1_training_dataset-2_tokenizer-GPT-NeoX_samples-300B_global_bs-1008_context-4096_schedule-WSD_lr-4e-3_warmup-25000_machine-LEONARDO_19356705,Comma-0.1,0.130000,300B,0.252314,0.640000,0.330487,0.278000,0.503552,0.236348,0.443603,0.567278,0.193284,0.325832,0.609902,0.398236
open-sci-ref_model-0.4b_data-common-pile-comma_v0.1_training_dataset-2_tokenizer-GPT-NeoX_samples-300B_global_bs-1000_context-4096_schedule-WSD_lr-4e-3_warmup-25000_machine-LEONARDO_19345264,Comma-0.1,0.400000,300B,0.257584,0.630000,0.430235,0.278000,0.514601,0.286689,0.530303,0.423853,0.197379,0.406393,0.649075,0.418556
open-sci-ref_model-1.3b_data-common-pile-comma_v0.1_training_dataset-2_tokenizer-GPT-NeoX_samples-300B_global_bs-1008_context-4096_schedule-WSD_lr-4e-3_warmup-25000_machine-LEONARDO_19366001,Comma-0.1,1.300000,300B,0.280516,0.740000,0.523190,0.346000,0.576953,0.320819,0.578704,0.614985,0.196560,0.473312,0.704026,0.486824
open-sci-ref_model-1.7b_data-comma-0.1_tokenizer-GPT-NeoX_samples-300B_global_bs-1024_context-4096_rotary-100000_schedule-WSD_lr-4e-3_warmup-25000_machine-JUPITER_50320,Comma-0.1,1.700000,300B,0.265204,0.710000,0.544149,0.328000,0.595107,0.362628,0.631313,0.618349,0.212940,0.534455,0.711643,0.501253
CommonCorpus-en-0.13B-300BT,CommonCorpus-en,0.130000,300B,0.247757,0.600000,0.320202,0.288000,0.501973,0.238908,0.428872,0.480428,0.195741,0.306612,0.589771,0.381660
CommonCorpus-en-0.4B-300BT,CommonCorpus-en,0.400000,300B,0.238143,0.670000,0.408500,0.318000,0.511444,0.275597,0.511785,0.493578,0.185913,0.366859,0.631665,0.419226
CommonCorpus-en-1.3B-300BT,CommonCorpus-en,1.300000,300B,0.261715,0.710000,0.506889,0.328000,0.554065,0.323379,0.606061,0.616514,0.204750,0.450707,0.662133,0.474928
CommonCorpus-en-1.7B-300BT,CommonCorpus-en,1.700000,300B,0.252599,0.710000,0.493499,0.310000,0.569061,0.321672,0.614057,0.617125,0.191646,0.452599,0.657236,0.471772
0.13b_data-common_corpus-eng-300BT,CommonCorpus-eng,0.130000,300B,0.246973,0.600000,0.321560,0.290000,0.510655,0.239761,0.428451,0.483792,0.195741,0.306612,0.584875,0.382584
1.3b_data-common_corpus-eng-300BT,CommonCorpus-eng,1.300000,300B,0.263495,0.690000,0.511159,0.328000,0.552486,0.322526,0.607744,0.615902,0.204750,0.450408,0.660501,0.473361
1.7b_data-common_corpus-eng-300BT,CommonCorpus-eng,1.700000,300B,0.252599,0.710000,0.493499,0.310000,0.569061,0.321672,0.614057,0.617125,0.191646,0.452599,0.657236,0.471772
open-sci-ref-v0.02-0.13b-dclm-300B-4096,DCLM,0.130000,300B,0.262356,0.690000,0.465166,0.316000,0.528808,0.267065,0.549663,0.606728,0.219492,0.411771,0.670294,0.453395
open-sci-ref-v0.02-0.4b-dclm-300B-4096,DCLM,0.400000,300B,0.250819,0.780000,0.579662,0.344000,0.577743,0.342150,0.667508,0.606422,0.199836,0.557359,0.730141,0.512331
open-sci-ref-v0.02-1.3b-dclm-300B-4096,DCLM,1.300000,300B,0.264563,0.850000,0.654570,0.394000,0.629834,0.420648,0.737374,0.710703,0.203112,0.680243,0.774211,0.574478
open-sci-ref-v0.02-1.7b-dclm-300B-4096,DCLM,1.700000,300B,0.264777,0.890000,0.693771,0.388000,0.652723,0.436860,0.747896,0.722018,0.202293,0.706732,0.781828,0.589718
EuroLLM-1.7B,EuroLLM-1.7B,,,0.268836,0.740000,0.524743,0.331000,0.585635,0.386092,0.726641,0.611927,0.188370,0.603266,0.741295,0.518891
