model_name,model_type,dataset_or_family,n_params_B,n_tokens,n_tokens_abs,training_flops,gsm8k,ifeval,mbpp,avg_reasoning,n_tasks_present
Qwen/Qwen2.5-0.5B,external,Qwen2.5,0.5,18T,1.8e+13,5.4e+22,0.336619,0.142329,0.148,0.208983,3
Qwen/Qwen2.5-1.5B,external,Qwen2.5,1.5,18T,1.8e+13,1.62e+23,0.607278,0.207024,0.29,0.368101,3
Qwen/Qwen2.5-3B,external,Qwen2.5,3,18T,1.8e+13,3.24e+23,0.575436,0.221811,0,0.265749,3
Qwen/Qwen2.5-7B,external,Qwen2.5,7,18T,1.8e+13,7.56e+23,0.835481,0.312384,0.66,0.602622,3
Qwen/Qwen3-0.6B,external,Qwen3,0.6,36T,3.6e+13,1.296e+23,0.404852,0.171904,0.208,0.261585,3
Qwen/Qwen3-1.7B-Base,external,Qwen3,1.7,36T,3.6e+13,3.672e+23,0.642911,0.247689,0.33,0.406867,3
Qwen/Qwen3-4B-Base,external,Qwen3,4,36T,3.6e+13,8.64e+23,0.720243,0.391867,0.28,0.464037,3
Qwen/Qwen3-8B-Base,external,Qwen3,8,36T,3.6e+13,1.728e+24,0.84837,0.386322,0.698,0.644231,3
HuggingFaceTB/SmolLM2-135M,external,SmolLM2,0.13,2T,2e+12,1.56e+21,0.00834,0.127542,0.036,0.057294,3
HuggingFaceTB/SmolLM2-360M,external,SmolLM2,0.36,4T,4e+12,8.64e+21,0.025777,0.157116,0.198,0.126965,3
HuggingFaceTB/SmolLM2-1.7B,external,SmolLM2,1.71,11T,1.1e+13,1.1286e+23,0.29492,0.186691,0.332,0.271204,3
open-sci/open-sci-ref-v0.01-0.13b-c4-300B-4096-warmup25000,open-sci,C4,0.13,300B,3e+11,2.34e+20,0.00834,0.125693,0,0.044678,3
open-sci/open-sci-ref-v0.01-0.4b-c4-300B-4096-warmup25000,open-sci,C4,0.4,300B,3e+11,7.2e+20,0.003033,0.162662,0,0.055231,3
open-sci/open-sci-ref-v0.01-1.3b-c4-300B-4096-warmup25000,open-sci,C4,1.3,300B,3e+11,2.34e+21,0.003791,0.225508,0,0.076433,3
open-sci/open-sci-ref-v0.01-1.7b-c4-300B-4096-warmup25000,open-sci,C4,1.7,300B,3e+11,3.06e+21,0.003791,0.225508,0,0.076433,3
open-sci/open-sci-ref-v0.01-0.13b-comma-300B-4096,open-sci,Comma,0.13,300B,3e+11,2.34e+20,0.005,0.12,0,0.0416667,3
ontocord/0.4b-Comma0.1-300BT,open-sci,Comma,0.4,300B,3e+11,7.2e+20,0.01,0.14,0.02,0.0566667,3
ontocord/1.3b-Comma0.1-300BT,open-sci,Comma,1.3,300B,3e+11,2.34e+21,0.04,0.17,0.15,0.12,3
ontocord/1.7b-Comma0.1-300BT,open-sci,Comma,1.7,300B,3e+11,3.06e+21,0.06,0.19,0.22,0.156667,3
open-sci/open-sci-ref-v0.01-0.13b-commoncorpus-300B-4096,open-sci,CommonCorpus-en,0.13,300B,3e+11,2.34e+20,0.004549,0.136784,0.002,0.047778,3
open-sci/open-sci-ref-v0.01-0.4b-commoncorpus-300B-4096,open-sci,CommonCorpus-en,0.4,300B,3e+11,7.2e+20,0.00834,0.107209,0.008,0.041183,3
open-sci/open-sci-ref-v0.01-1.3b-commoncorpus-300B-4096,open-sci,CommonCorpus-en,1.3,300B,3e+11,2.34e+21,0.01213,0.149723,0.044,0.068618,3
open-sci/open-sci-ref-v0.01-1.7b-commoncorpus-300B-4096,open-sci,CommonCorpus-en,1.7,300B,3e+11,3.06e+21,0.01213,0.133087,0.046,0.063739,3
open-sci/open-sci-ref-v0.01-0.13b-dclm-300B-4096,open-sci,DCLM,0.13,300B,3e+11,2.34e+20,0.00834,0.133087,0,0.047142,3
open-sci/open-sci-ref-v0.01-0.4b-dclm-300B-4096,open-sci,DCLM,0.4,300B,3e+11,7.2e+20,0.01213,0.147874,0.002,0.054002,3
open-sci/open-sci-ref-v0.01-1.3b-dclm-300B-4096,open-sci,DCLM,1.3,300B,3e+11,2.34e+21,0.012889,0.166359,0.004,0.061082,3
open-sci/open-sci-ref-v0.01-1.7b-dclm-300B-4096,open-sci,DCLM,1.7,300B,3e+11,3.06e+21,0.02047,0.133087,0.012,0.055186,3
open-sci/open-sci-ref-v0.01-0.13b-fineweb-edu-1.4t-300B-4096,open-sci,FineWeb-Edu-1.4T,0.13,300B,3e+11,2.34e+20,0.000758,0.170055,0,0.056938,3
open-sci/open-sci-ref-v0.01-0.4b-fineweb-edu-1.4t-300B-4096,open-sci,FineWeb-Edu-1.4T,0.4,300B,3e+11,7.2e+20,0.016679,0.194085,0,0.070255,3
open-sci/open-sci-ref-v0.01-1.3b-fineweb-edu-1.4t-300B-4096,open-sci,FineWeb-Edu-1.4T,1.3,300B,3e+11,2.34e+21,0.015163,0.192237,0,0.069133,3
open-sci/open-sci-ref-v0.01-1.7b-fineweb-edu-1.4t-300B-4096,open-sci,FineWeb-Edu-1.4T,1.7,300B,3e+11,3.06e+21,0.016679,0.194085,0,0.070255,3
open-sci/open-sci-ref-v0.01-0.13b-hplt-2.0-300B-4096,open-sci,HPLT-2.0,0.13,300B,3e+11,2.34e+20,0.015163,0.179298,0,0.06482,3
open-sci/open-sci-ref-v0.01-0.4b-hplt-2.0-300B-4096,open-sci,HPLT-2.0,0.4,300B,3e+11,7.2e+20,0.011372,0.16451,0,0.058627,3
open-sci/open-sci-ref-v0.01-1.3b-hplt-2.0-300B-4096,open-sci,HPLT-2.0,1.3,300B,3e+11,2.34e+21,0.009856,0.203327,0,0.071061,3
open-sci/open-sci-ref-v0.01-1.7b-hplt-2.0-300B-4096,open-sci,HPLT-2.0,1.7,300B,3e+11,3.06e+21,0.015921,0.181146,0,0.065689,3
ontocord/0.13b-mixturevitae-v1-decontaminated-300B-4096,open-sci,MixtureVitae,0.13,300B,3e+11,2.34e+20,0.080364,0.134935,0.086,0.100433,3
ontocord/0.4b-mixturevitae-v1-decontaminated-300B-4096,open-sci,MixtureVitae,0.4,300B,3e+11,7.2e+20,0.282032,0.151571,0.21,0.214534,3
ontocord/1.3b-mixturevitae-v1-decontaminated-300B-4096,open-sci,MixtureVitae,1.3,300B,3e+11,2.34e+21,0.4837,0.207024,0.352,0.347575,3
ontocord/1.7b-mixturevitae-v1-decontaminated-300B-4096,open-sci,MixtureVitae,1.7,300B,3e+11,3.06e+21,0.532221,0.173752,0.378,0.361325,3
open-sci/open-sci-ref-v0.01-0.13b-nemotron-hq-300B-4096,open-sci,Nemotron-cc-hq,0.13,300B,3e+11,2.34e+20,0.004549,0.110906,0,0.038485,3
open-sci/open-sci-ref-v0.01-0.4b-nemotron-hq-300B-4096,open-sci,Nemotron-cc-hq,0.4,300B,3e+11,7.2e+20,0.009856,0.116451,0.002,0.042769,3
open-sci/open-sci-ref-v0.01-1.3b-nemotron-hq-300B-4096,open-sci,Nemotron-cc-hq,1.3,300B,3e+11,2.34e+21,0.026535,0.140481,0,0.055672,3
open-sci/open-sci-ref-v0.01-1.7b-nemotron-hq-300B-4096,open-sci,Nemotron-cc-hq,1.7,300B,3e+11,3.06e+21,0.031842,0.092421,0,0.041421,3
open-sci/open-sci-ref-v0.01-0.13b-pile-300B-4096,open-sci,Pile,0.13,300B,3e+11,2.34e+20,0.010614,0.140481,0.008,0.053032,3
open-sci/open-sci-ref-v0.01-0.4b-pile-300B-4096,open-sci,Pile,0.4,300B,3e+11,7.2e+20,0.015921,0.170055,0.024,0.069992,3
open-sci/open-sci-ref-v0.01-1.3b-pile-300B-4096,open-sci,Pile,1.3,300B,3e+11,2.34e+21,0.02047,0.197782,0.09,0.102751,3
open-sci/open-sci-ref-v0.01-1.7b-pile-300B-4096,open-sci,Pile,1.7,300B,3e+11,3.06e+21,0.011372,0.212569,0.08,0.101314,3
open-sci/open-sci-ref-v0.01-0.13b-slimpajama-300B-4096,open-sci,SlimPajama,0.13,300B,3e+11,2.34e+20,0.007582,0.120148,0,0.042576,3
open-sci/open-sci-ref-v0.01-0.4b-slimpajama-300B-4096,open-sci,SlimPajama,0.4,300B,3e+11,7.2e+20,0.007582,0.216266,0,0.074616,3
open-sci/open-sci-ref-v0.01-1.3b-slimpajama-300B-4096,open-sci,SlimPajama,1.3,300B,3e+11,2.34e+21,0.015163,0.166359,0,0.060507,3
open-sci/open-sci-ref-v0.01-1.7b-slimpajama-300B-4096,open-sci,SlimPajama,1.7,300B,3e+11,3.06e+21,0.015163,0.173752,0,0.062972,3
