model_name,model_path,benchmark,metric,total_evaluation_time_seconds,value,eval_jobid,n_few_shot,source
open-sci-ref_model-1.7b_data-MixtureVitae-300BT-curated_tokenizer-GPT-NeoX_samples-100B_global_bs-1008_context-4096_rotary-100000_schedule-WSD_lr-4e-3_warmup-1000_machine-LEONARDO_21109840,/leonardo_work/AIFAC_L01_028/hraj0000/megatron_lm_reference/converted_checkpoints/1.7b_data-MixtureVitae-300BT-curated-100BT/hf/iter_0001000,arc_easy,acc_norm,-1,0.3434343434343434,-1,,
open-sci-ref_model-1.7b_data-MixtureVitae-300BT-curated_tokenizer-GPT-NeoX_samples-100B_global_bs-1008_context-4096_rotary-100000_schedule-WSD_lr-4e-3_warmup-1000_machine-LEONARDO_21109840,/leonardo_work/AIFAC_L01_028/hraj0000/megatron_lm_reference/converted_checkpoints/1.7b_data-MixtureVitae-300BT-curated-100BT/hf/iter_0001000,arc_easy,acc,-1,0.36069023569023567,-1,,
open-sci-ref_model-1.7b_data-MixtureVitae-300BT-curated_tokenizer-GPT-NeoX_samples-100B_global_bs-1008_context-4096_rotary-100000_schedule-WSD_lr-4e-3_warmup-1000_machine-LEONARDO_21109840,/leonardo_work/AIFAC_L01_028/hraj0000/megatron_lm_reference/converted_checkpoints/1.7b_data-MixtureVitae-300BT-curated-100BT/hf/iter_0001000,boolq,acc,-1,0.5935779816513761,-1,,
open-sci-ref_model-1.7b_data-MixtureVitae-300BT-curated_tokenizer-GPT-NeoX_samples-100B_global_bs-1008_context-4096_rotary-100000_schedule-WSD_lr-4e-3_warmup-1000_machine-LEONARDO_21109840,/leonardo_work/AIFAC_L01_028/hraj0000/megatron_lm_reference/converted_checkpoints/1.7b_data-MixtureVitae-300BT-curated-100BT/hf/iter_0001000,hellaswag,acc_norm,-1,0.28450507866958774,-1,,
open-sci-ref_model-1.7b_data-MixtureVitae-300BT-curated_tokenizer-GPT-NeoX_samples-100B_global_bs-1008_context-4096_rotary-100000_schedule-WSD_lr-4e-3_warmup-1000_machine-LEONARDO_21109840,/leonardo_work/AIFAC_L01_028/hraj0000/megatron_lm_reference/converted_checkpoints/1.7b_data-MixtureVitae-300BT-curated-100BT/hf/iter_0001000,arc_challenge,acc_norm,-1,0.23208191126279865,-1,,
open-sci-ref_model-1.7b_data-MixtureVitae-300BT-curated_tokenizer-GPT-NeoX_samples-100B_global_bs-1008_context-4096_rotary-100000_schedule-WSD_lr-4e-3_warmup-1000_machine-LEONARDO_21109840,/leonardo_work/AIFAC_L01_028/hraj0000/megatron_lm_reference/converted_checkpoints/1.7b_data-MixtureVitae-300BT-curated-100BT/hf/iter_0001000,arc_challenge,acc,-1,0.18344709897610922,-1,,
open-sci-ref_model-1.7b_data-MixtureVitae-300BT-curated_tokenizer-GPT-NeoX_samples-100B_global_bs-1008_context-4096_rotary-100000_schedule-WSD_lr-4e-3_warmup-1000_machine-LEONARDO_21109840,/leonardo_work/AIFAC_L01_028/hraj0000/megatron_lm_reference/converted_checkpoints/1.7b_data-MixtureVitae-300BT-curated-100BT/hf/iter_0001000,commonsense_qa,acc,-1,0.20556920556920558,-1,,
open-sci-ref_model-1.7b_data-MixtureVitae-300BT-curated_tokenizer-GPT-NeoX_samples-100B_global_bs-1008_context-4096_rotary-100000_schedule-WSD_lr-4e-3_warmup-1000_machine-LEONARDO_21109840,/leonardo_work/AIFAC_L01_028/hraj0000/megatron_lm_reference/converted_checkpoints/1.7b_data-MixtureVitae-300BT-curated-100BT/hf/iter_0001000,piqa,acc_norm,-1,0.5538628944504896,-1,,
open-sci-ref_model-1.7b_data-MixtureVitae-300BT-curated_tokenizer-GPT-NeoX_samples-100B_global_bs-1008_context-4096_rotary-100000_schedule-WSD_lr-4e-3_warmup-1000_machine-LEONARDO_21109840,/leonardo_work/AIFAC_L01_028/hraj0000/megatron_lm_reference/converted_checkpoints/1.7b_data-MixtureVitae-300BT-curated-100BT/hf/iter_0001000,piqa,acc,-1,0.5614798694232862,-1,,
open-sci-ref_model-1.7b_data-MixtureVitae-300BT-curated_tokenizer-GPT-NeoX_samples-100B_global_bs-1008_context-4096_rotary-100000_schedule-WSD_lr-4e-3_warmup-1000_machine-LEONARDO_21109840,/leonardo_work/AIFAC_L01_028/hraj0000/megatron_lm_reference/converted_checkpoints/1.7b_data-MixtureVitae-300BT-curated-100BT/hf/iter_0001000,copa,acc,-1,0.52,-1,,
